Stars,Ratings,Prices,Brands,Capacity,Energy_stars,config
4.2,4708,27490,SAMSUNG,236.0,3,Freezer-on-Top
4.2,4708,27490,SAMSUNG,236.0,3,Freezer-on-Top
4.3,6445,24990,SAMSUNG,236.0,3,Freezer-on-Top
4.1,4025,11990,WHIRLPOOL,184.0,2,Single Door
4.3,6445,24990,SAMSUNG,236.0,3,Freezer-on-Top
4.0,2957,21990,WHIRLPOOL,235.0,2,Freezer-on-Top
3.9,2014,15990,WHIRLPOOL,192.0,3,Single Door
4.1,3953,15990,HAIER,190.0,5,Freezer-on-Top
4.3,5625,16690,SAMSUNG,183.0,4,Freezer-on-Top
4.2,4708,27490,SAMSUNG,236.0,3,Freezer-on-Top
4.1,2114,15190,GODREJ,180.0,4,Single Door
4.0,286,22490,GODREJ,223.0,3,Double Door
4.0,1579,16990,WHIRLPOOL,192.0,5,Single Door
4.1,5610,12950,WHIRLPOOL,184.0,3,Single Door
4.0,3563,15990,WHIRLPOOL,184.0,4,Single Door
4.0,797,12990,WHIRLPOOL,184.0,2,Single Door
4.2,1496,20690,SAMSUNG,215.0,5,Freezer-on-Top
4.0,145,16490,IFB,197.0,5,Single Door
4.2,3082,35990,SAMSUNG,301.0,3,Freezer-on-Top
4.3,1205,17690,SAMSUNG,183.0,5,Freezer-on-Top
4.2,4708,26990,SAMSUNG,236.0,3,Freezer-on-Top
4.2,1665,23890,SAMSUNG,236.0,2,Freezer-on-Top
4.1,6149,25990,LG,242.0,3,Full-Sized Freezer-on-Top
4.2,4715,30390,LG,272.0,3,Freezer-on-Top
4.2,2541,18390,SAMSUNG,223.0,3,Freezer-on-Top
4.0,1103,11990,WHIRLPOOL,184.0,2,Single Door
4.0,196,22190,HAIER,240.0,2,Full-Sized Freezer-on-Top
4.0,286,22490,GODREJ,223.0,3,Double Door
4.2,2985,15490,SAMSUNG,183.0,3,Freezer-on-Top
4.1,847,34990,HAIER,325.0,3,Full-Sized Freezer-on-Bottom
4.2,370,42990,GODREJ,436.0,2,Double Door
4.2,3082,36590,SAMSUNG,301.0,3,Freezer-on-Top
4.2,194,81990,SAMSUNG,653.0,3,Full-Sized Side-by-Side
4.1,1721,16390,SAMSUNG,183.0,4,Freezer-on-Top
4.1,3932,18990,WHIRLPOOL,207.0,5,Single Door
4.2,533,69990,SAMSUNG,550.0,4,Full-Sized French Door
4.0,1564,12890,GODREJ,180.0,2,Freezer-on-Top
3.9,1571,20390,GODREJ,223.0,2,Double Door
